"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23, 2017","352.77","338.99","353.49","338.30","4.95M","3.35%"
"Aug 22, 2017","341.35","341.13","342.24","337.37","4.32M","1.03%"
"Aug 21, 2017","337.86","345.82","345.82","331.85","6.50M","-2.76%"
"Aug 18, 2017","347.46","352.91","354.00","345.80","5.41M","-1.27%"
"Aug 17, 2017","351.92","361.21","363.30","351.59","5.03M","-3.03%"
"Aug 16, 2017","362.91","363.00","366.50","362.52","3.41M","0.16%"
"Aug 15, 2017","362.33","365.20","365.49","359.37","3.09M","-0.40%"
"Aug 14, 2017","363.80","364.63","367.66","362.60","4.52M","1.66%"
"Aug 11, 2017","357.87","356.97","361.26","353.62","4.37M","0.69%"
"Aug 10, 2017","355.40","361.60","366.65","354.66","7.09M","-2.24%"
"Aug 09, 2017","363.53","361.00","370.00","358.95","6.89M","-0.46%"
"Aug 08, 2017","365.22","357.53","368.58","357.40","7.45M","2.83%"
"Aug 07, 2017","355.17","357.35","359.48","352.75","6.32M","-0.49%"
"Aug 04, 2017","356.91","347.00","357.27","343.30","9.27M","2.83%"
"Aug 03, 2017","347.09","345.33","350.00","343.15","13.54M","6.51%"
"Aug 02, 2017","325.89","318.94","327.12","311.22","13.09M","1.98%"
"Aug 01, 2017","319.57","323.00","324.45","316.13","8.30M","-1.21%"
"Jul 31, 2017","323.47","335.50","341.49","321.04","8.54M","-3.46%"
"Jul 28, 2017","335.07","336.89","339.60","332.51","4.88M","0.18%"
"Jul 27, 2017","334.46","346.00","347.50","326.29","8.30M","-2.73%"
"Jul 26, 2017","343.85","340.36","345.50","338.12","4.82M","1.25%"
"Jul 25, 2017","339.60","345.00","345.60","334.15","6.99M","-0.85%"
"Jul 24, 2017","342.52","330.24","343.40","330.01","8.64M","4.30%"
"Jul 21, 2017","328.40","329.46","331.26","325.80","4.90M","-0.46%"
"Jul 20, 2017","329.92","326.90","330.22","324.20","5.17M","1.43%"
"Jul 19, 2017","325.26","328.23","331.65","323.22","6.36M","-0.91%"
"Jul 18, 2017","328.24","317.50","329.13","315.66","6.37M","2.71%"
"Jul 17, 2017","319.57","325.54","327.10","313.45","9.88M","-2.50%"
"Jul 14, 2017","327.78","323.19","328.42","321.22","5.63M","1.35%"
"Jul 13, 2017","323.41","330.11","331.60","319.97","8.59M","-1.85%"
"Jul 12, 2017","329.52","330.40","333.10","324.50","10.35M","0.70%"
"Jul 11, 2017","327.22","316.00","327.28","314.30","11.56M","3.53%"
"Jul 10, 2017","316.05","312.90","317.94","303.13","13.82M","0.90%"
"Jul 07, 2017","313.22","313.50","317.00","307.38","14.18M","1.42%"
"Jul 06, 2017","308.83","317.26","320.79","306.30","19.32M","-5.58%"
"Jul 05, 2017","327.09","347.20","347.24","326.33","17.05M","-7.24%"
"Jul 03, 2017","352.62","370.24","371.35","351.50","6.31M","-2.49%"
"Jun 30, 2017","361.61","363.71","366.77","359.62","5.85M","0.24%"
"Jun 29, 2017","360.75","370.61","371.00","354.10","8.22M","-2.83%"
"Jun 28, 2017","371.24","366.68","371.74","362.52","6.30M","2.45%"
"Jun 27, 2017","362.37","376.40","376.40","362.02","7.00M","-4.01%"
"Jun 26, 2017","377.49","386.69","386.95","373.10","6.60M","-1.55%"
"Jun 23, 2017","383.45","382.45","386.99","379.35","6.45M","0.22%"
"Jun 22, 2017","382.61","377.99","385.00","373.57","7.53M","1.65%"
"Jun 21, 2017","376.40","374.35","376.99","368.02","4.92M","1.12%"
"Jun 20, 2017","372.24","376.67","378.88","369.73","7.44M","0.66%"
"Jun 19, 2017","369.80","375.00","376.70","367.80","6.55M","-0.43%"
"Jun 16, 2017","371.40","377.98","378.01","370.10","6.73M","-1.05%"
"Jun 15, 2017","375.34","372.50","375.46","366.49","10.43M","-1.40%"
"Jun 14, 2017","380.66","381.08","384.25","376.31","12.82M","1.25%"
"Jun 13, 2017","375.95","367.62","376.00","366.61","11.81M","4.72%"
"Jun 12, 2017","359.01","357.99","364.50","350.62","10.52M","0.47%"
"Jun 09, 2017","357.32","374.42","376.87","354.80","17.26M","-3.43%"
"Jun 08, 2017","370.00","363.75","371.90","360.22","9.06M","2.88%"
"Jun 07, 2017","359.65","356.34","360.50","355.14","9.40M","1.93%"
"Jun 06, 2017","352.85","344.70","359.49","339.97","11.09M","1.59%"
"Jun 05, 2017","347.32","338.50","348.44","334.21","6.78M","2.20%"
"Jun 02, 2017","339.85","339.77","342.88","335.93","5.59M","-0.15%"
"Jun 01, 2017","340.37","344.00","344.88","337.29","7.61M","-0.19%"
"May 31, 2017","341.01","337.69","342.89","335.16","9.96M","1.76%"
"May 30, 2017","335.10","326.00","336.28","325.76","7.78M","3.06%"
"May 26, 2017","325.14","317.28","325.49","316.31","7.80M","2.62%"
"May 25, 2017","316.83","311.02","316.97","307.81","5.01M","2.13%"
"May 24, 2017","310.22","306.51","311.00","305.40","5.04M","2.09%"
"May 23, 2017","303.86","310.46","310.73","303.48","4.32M","-2.09%"
"May 22, 2017","310.35","312.80","314.37","306.80","4.33M","-0.15%"
"May 19, 2017","310.83","315.50","316.50","310.20","4.69M","-0.71%"
"May 18, 2017","313.06","307.00","313.94","305.31","5.65M","2.27%"
"May 17, 2017","306.11","314.39","314.63","305.50","6.71M","-3.44%"
"May 16, 2017","317.01","317.59","320.06","315.14","4.15M","0.36%"
"May 15, 2017","315.88","318.38","320.20","312.53","7.62M","-2.75%"
"May 12, 2017","324.81","325.48","327.00","321.53","4.12M","0.53%"
"May 11, 2017","323.10","323.40","326.00","319.60","4.75M","-0.65%"
"May 10, 2017","325.22","321.56","325.50","318.12","5.74M","1.23%"
