"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2016","123.07","122.22","123.18","122.17","201.88K","0.99%"
"Dec 12, 2016","121.86","121.80","122.45","121.39","247.49K","-0.91%"
"Dec 09, 2016","122.98","122.81","123.15","122.61","292.17K","0.14%"
"Dec 08, 2016","122.81","123.05","123.17","122.54","430.99K","1.11%"
"Dec 07, 2016","121.46","119.63","121.77","119.63","304.64K","3.04%"
"Dec 06, 2016","117.88","117.44","117.92","117.20","133.97K","0.27%"
"Dec 05, 2016","117.56","117.34","118.08","117.30","156.93K","0.62%"
"Dec 02, 2016","116.83","116.97","117.29","116.70","190.88K","-0.80%"
"Dec 01, 2016","117.77","117.69","118.71","117.50","260.66K","-0.64%"
"Nov 30, 2016","118.53","118.63","118.81","118.25","231.62K","0.19%"
"Nov 29, 2016","118.30","118.15","118.57","117.94","190.95K","0.55%"
"Nov 28, 2016","117.65","117.97","117.97","117.41","174.72K","-0.13%"
"Nov 25, 2016","117.80","117.70","118.15","117.41","191.76K","2.87%"
"Nov 23, 2016","114.51","113.46","114.86","113.36","270.60K","0.64%"
"Nov 22, 2016","113.78","113.71","113.87","113.25","153.20K","-0.64%"
"Nov 21, 2016","114.51","114.22","114.67","114.13","218.44K","0.41%"
"Nov 18, 2016","114.04","114.06","114.43","113.92","235.55K","0.71%"
"Nov 17, 2016","113.24","113.00","113.24","112.36","201.22K","0.60%"
"Nov 16, 2016","112.57","112.64","112.88","112.37","228.65K","0.07%"
"Nov 15, 2016","112.49","111.98","112.49","111.81","142.00K","0.64%"
"Nov 14, 2016","111.78","111.83","112.43","111.51","226.74K","-0.15%"
"Nov 11, 2016","111.95","111.45","112.05","111.37","158.58K","0.98%"
"Nov 10, 2016","110.86","110.93","111.40","109.94","371.90K","-0.85%"
"Nov 09, 2016","111.81","110.35","112.78","110.35","567.88K","-1.76%"
"Nov 08, 2016","113.81","113.00","115.40","112.62","228.96K","1.18%"
"Nov 07, 2016","112.48","111.62","112.55","111.49","354.40K","1.74%"
"Nov 04, 2016","110.56","110.53","111.20","110.24","321.38K","-2.31%"
"Nov 03, 2016","113.17","113.79","114.17","112.94","320.41K","-0.19%"
"Nov 02, 2016","113.38","114.14","114.67","113.13","227.37K","-1.18%"
"Nov 01, 2016","114.73","115.76","115.76","114.18","307.30K","-0.80%"
"Oct 31, 2016","115.66","115.51","115.79","115.40","135.01K","0.74%"
"Oct 28, 2016","114.81","114.84","115.14","114.41","140.47K","-0.03%"
"Oct 27, 2016","114.85","115.39","115.50","114.81","216.09K","-0.56%"
"Oct 26, 2016","115.50","114.93","115.70","114.75","211.17K","0.22%"
